host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
HAT-P-1,1,Success,283.22991704940796,2.9874422348428613,12,-0.005668214300436131,-0.028338065581644954
Gliese_12,1,Success,313.23227882385254,1.0773052624354322,80,,0.21085596345823737
HAT-P-33,1,Success,38.85366702079773,0.1844861428800734,4,0.5964873175217028,
HAT-P-35,1,Success,29.790125846862793,1.9513827363848328,6,0.2071816351289506,0.7386086393221009
HAT-P-34,1,Success,34.223472118377686,2.90794332897295,4,0.3510418352163882,0.6242742595852094
HAT-P-39,1,Success,24.84265112876892,1.1566740408914502,7,0.45657454878537884,0.5475742637360681
HAT-P-4,1,Success,24.840699911117554,3.449993691804398,7,0.34533520882369245,0.6822379010264914
HAT-P-36,1,Success,62.063380002975464,10.34084825870142,5,0.2507930590998703,0.3300585827775757
HAT-P-37,1,Success,64.09809112548828,5.596097479501912,32,,0.4933907791453636
HAT-P-41,1,Success,21.192941904067993,4.963483818649889,2,0.21512177004433042,0.7455678969936497
HAT-P-42,1,Success,22.319276809692383,1.6683393920996628,4,0.651963911879878,0.10260794748259457
HAT-P-19,1,Success,348.97629594802856,0.19229714609408174,7,0.43837421700543316,-0.016574167377678094
HAT-P-43,1,Success,50.425337076187134,1.832562883648654,6,0.5231811951742277,0.6560440443624485
HAT-P-29,1,Success,225.429532289505,0.4570598211489574,22,,-0.1862614586123985
HAT-P-44,1,Success,60.84728717803955,2.335491755773871,6,0.40782043198850676,0.2319474372473072
HAT-P-45,1,Success,34.16289925575256,3.5955218187510494,5,0.33214558870059224,0.46560554852743
HAT-P-49,1,Success,30.69356870651245,4.179280330800767,9,0.394185091005407,0.519016537007362
HAT-P-50,1,Success,25.33073115348816,1.06665025891126,8,0.5504243111113942,0.22755160849450076
HAT-P-40,1,Success,142.75565886497498,0.9686734764535244,7,0.17162992435100774,-0.07554954503562838
HAT-P-5,1,Success,50.60272693634033,5.065225371622344,8,0.2817929753025401,0.5416642706522025
HAT-P-32,1,Success,248.43936920166016,34.793837624195604,13,0.24070027084438378,0.22382618905786775
HAT-P-51,1,Success,63.68754720687866,1.1181322971953622,6,0.5082607489264381,0.28946511709414224
HAT-P-38,1,Success,220.5228419303894,1.7864757287483386,11,-0.032948555963294136,-0.07617756508450681
HAT-P-52,1,Success,43.15819692611694,2.502121013698528,8,0.5320037100564399,0.49961943918070656
HAT-P-53,1,Success,33.829399824142456,0.6910831950164577,10,0.5245628333138065,0.4183794354332982
HAT-P-55,1,Success,43.43824315071106,0.5175965395090559,5,0.480976083461338,0.6687936428564695
HAT-P-58,1,Success,24.440269947052002,1.6844346774403527,6,0.37976792310162066,0.6252799810744508
HAT-P-46,1,Success,135.41958093643188,1.4687180783156317,6,-0.18729591632990636,0.009156432537994938
HAT-P-56,1,Success,40.72480392456055,1.2453634015511548,4,0.808130385106951,0.15734328667038963
HAT-P-59,1,Success,41.139837980270386,1.1357652871019035,5,0.19448650251957983,0.22440762430799852
HAT-P-54,1,Success,88.85418105125427,3.258626549617488,6,0.38015086440282686,0.33540279222796593
HAT-P-62,1,Success,40.61749815940857,4.0632327893354505,9,0.4826302754476151,0.27452265773959916
HAT-P-63,1,Success,48.158896923065186,0.15614773223406786,5,0.5817484098165313,0.40323779575519475
HAT-P-57,1,Success,97.7488329410553,14.28945246686883,13,,0.9287971197328252
